SN,District,School_Name,Type,Status,Boarding,Trade_Count,Accredited_Trades,Not_Accredited_Trades,Reasons
5,BUGESERA,MIRACLE,CORNERS VTC,VTC,Private,1,Tailoring L1,None,None
23,BUGESERA,XTRA MILE VTC,VTC,Private,Day,1,Welding L1,None,Page 3 of 80
1,KAMONYI,College APPEC REMERA RUKOMA,TSS,Government,Aided,4,Boarding | Software Development L3-5 | Computer System and Architecture L3-5 | Building Construction L3-5,None,\
2,KAMONYI,SAINT BERNARD,VTC,VTC,Private,4,Mixed (Day and boarding) | Tailoring L1 | Hair dressing L1 | Leather works L1,None,None
3,KAMONYI,KIGESE TSS,TSS,PUBLIC,Day,5,Tailoring L1 | Masonry L1 | Carpentry L1 | Building Construction L3-5 | Fashion Design L3-5,None,None
4,KAMONYI,RUNDA TSS,TSS,PUBLIC,Boarding,4,Building construction L3-5 | Land surveying L3-5 | Computer System and Architecture L3-5 | Software Development L3-5,None,None
5,KAMONYI,Centre de Formation Saint Leonard VTC,VTC,Pirvate,Day,1,Tailoring L1,None,None
6,KAMONYI,KAYENZI TSS,TSS,PUBLIC,Boarding,11,Tailoring L1 | Fashion Design L3-5 | Masonry L1 | Carpentry L1 | Welding L1 | Manufacturing Technology L3-5 | Domestic electricity L1 | Electrical Technology L3-5 | Hairdressing L1 | Building construction L3-5 | Wood Technology L3-5,None,None
7,KAMONYI,ES MUSAMBIRA TSS,TSS,PUBLIC,Day,3,Page 12 of 80 | Food and Beverage Operation L3-5 | Building Construction L3-5,None,None
8,KAMONYI,SAINT ANNE,MUGINA TSS&VTC,TSS,PRIVATE,2,Tailoring L1 | Fashion Design L3-5,None,None
9,KAMONYI,SAINT IGNACE _MUGINA TSS,TSS,Government,Aided,6,Boarding | Networking and Internet Technology L3-5 | Building Construction L3-5 | Computer system and Architecture L3-5 | Masonry L1 | Carpentry L1,None,None
